date,country,continent,title,summary,url,source,category,category_group,news_type,traffic_impact,priority,confidence,validation
2026-01-30,,,"배틀그라운드 모바일, ‘킹 오브 파이터즈’와 맞손 - 스트레이트뉴스","배틀그라운드 모바일, ‘킹 오브 파이터즈’와 맞손 스트레이트뉴스",https://news.google.com/rss/articles/CBMid0FVX3lxTE9jOHZET1FaaC1SMHozSFpJX3hMelM0alV0WXhXQlNTbTE4blNNR3hhUWZUMjJqZ3lRNnB5VWkzNEs0WGxHWmtuSW1yS09xX3g1bjJWWVdGZWNGRFVzNUh0N2pjY3JuSk5vbEt5eWppWXFTOVRCa0930gF3QVVfeXFMT2M4dkRPUVpoLVIwejNIWklfeEx6UzRqVXRZeFdCU1NtMThuU01HeGFRZlQyMmpneVE2cHlVaTM0SzRYbEdaa25JbXJLT3FfeDVuMlZZV0ZlY0ZEVXM1SHQ3amNjcm5KTm9sS3l5amlZcVM5VEJrT3c?oc=5,스트레이트뉴스,gaming,gaming_competitor,gaming,,medium,,
2026-01-30,,,"""격투 명작 캐릭터·아케이드 감성 담았다""…배틀그라운드 모바일, KOF 컬래버 실시 - 청년일보","""격투 명작 캐릭터·아케이드 감성 담았다""…배틀그라운드 모바일, KOF 컬래버 실시 청년일보",https://news.google.com/rss/articles/CBMiakFVX3lxTFBMWlJBVlJCNVZldTBSZDVNR2YxdTFsQ1Flbno2cXdnYXlpZm5qck0wb0JFUFg4Nm1RQ1JQTDJFNXM3aG95SGdqbjlMNGRfS2M3MFlSSm9IOFVZXzEyTXNEZS0tazZfaWVjMkE?oc=5,청년일보,gaming,gaming_competitor,gaming,,medium,,
2026-01-30,,,"배틀그라운드 모바일, 킹 오브 파이터즈 컬래버레이션 진행 - 매드클럽","배틀그라운드 모바일, 킹 오브 파이터즈 컬래버레이션 진행 매드클럽",https://news.google.com/rss/articles/CBMia0FVX3lxTE5aeXI3bDRydWppQU80bzBlRGNkTnc4VUVSdnN4aTZydElyNUtuMFFjeGxzUDVDWEc3Sm85NmhXVllWMllGdDhRZFc2M2pOU2wtMjl0MWQ5cEE5WDB1VTVXMTNDSGg0aWxrNElR0gFuQVVfeXFMT2UtNkRTeDgtVE4zdGlzZUV6ZUZ1TG9BRktsSjVwNnhMMG1fTDJXV0pzUjh3Y0hqMHk0SGY1YnRwX0Fycnc3V0pfal9tc0dfZ3U5MzVMQUEzZy1aMVozc1N3NnJ0VEJEUDdzOS1OUkE?oc=5,매드클럽,gaming,gaming_competitor,gaming,,medium,,
2026-01-30,,,"배틀그라운드 모바일, ‘킹 오브 파이터즈’와 컬래버레이션 진행 - 창업일보","배틀그라운드 모바일, ‘킹 오브 파이터즈’와 컬래버레이션 진행 창업일보",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1sRXNUNE0tR1hvRGlKeVZxRWd0Y1hLU2JWWUVacFltbGZfZkozM0dEYm5OalJGWUd2WldLYTNfU09MQ29veG9YWHd4cmYwVnNJZWpCa2l4SlhvaVBxa1FKeFBnZWk3QUJr0gFsQVVfeXFMTVZ4Q3htczh1WHV1d2tFMVFCczBnUW55QkxiVTZSN0FSXzJ2cmZnSG9GSl9UTXJkVl9TREtVUnVKdVdPN3BzUU0zS2dXSmxNSmdDT0hiNnlMdHBvSjZuRVJQQWhOVlZIN1lpSHox?oc=5,창업일보,gaming,gaming_competitor,gaming,,medium,,
2026-01-30,,,"크래프톤 '배틀그라운드 모바일', KOF 테마 캐릭터·이모트 추가 - 1코노미뉴스","크래프톤 '배틀그라운드 모바일', KOF 테마 캐릭터·이모트 추가 1코노미뉴스",https://news.google.com/rss/articles/CBMicEFVX3lxTE5ha1VJRmpZQmY5UzdVb0ZOQVh6UnBvaGhobjVpc292aGNfam5KN0Q3YWh3VW1nQjVyYVk1cUZhNUFEdUQ1Y1hnTG13TXF6cGota0JCMHcyMHdhYWJiUXN1M0Z5QW56dXlpYzBhczJlX3Y?oc=5,1코노미뉴스,gaming,gaming_competitor,gaming,,medium,,
2026-01-30,,,"크래프톤, 배그 모바일에 KOF 캐릭터 세트 대규모 추가 - 퍼블릭뉴스통신","크래프톤, 배그 모바일에 KOF 캐릭터 세트 대규모 추가 퍼블릭뉴스통신",https://news.google.com/rss/articles/CBMia0FVX3lxTFBJaWw0eXpMUGRnbzc0a29ZSVBXR3JkU0d3RkJuUzZ1T1cxVE1wR1Y4RVdBdzJ0SkQ3eGtoc09obFBweXpjWmx5SjFnZl93Q0xjZXVTQUJvQ2trYXpPOFFsU1d0QWkyYzV6dzgw?oc=5,퍼블릭뉴스통신,gaming,gaming_competitor,gaming,,medium,,
2026-01-30,,,"배틀그라운드 모바일, ‘킹 오브 파이터즈’ 품었다 - stnsports.co.kr","배틀그라운드 모바일, ‘킹 오브 파이터즈’ 품었다 stnsports.co.kr",https://news.google.com/rss/articles/CBMib0FVX3lxTE8wTEFZb21OektPVXYzNE1jMk53eW9GeC1tb0tJVEhNbUgtbkVrNGxkYTVzR1l1SmR2X1lUamItZjQzTkxoNjVIZ0dGUW1BN1FIZlVTXzA5eW5uVjBfUExUS3NYV1hnZzNUeVEtTWhXbw?oc=5,stnsports.co.kr,gaming,gaming_competitor,gaming,,medium,,
2026-01-30,,,크래프톤 '배틀그라운드 모바일' KOF와 손 잡는다 - 현대경제신문,크래프톤 '배틀그라운드 모바일' KOF와 손 잡는다 현대경제신문,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9WQWR4NkNXQ3EwLVZSdjBRQUdiYnZSTTlOV1NvbzRyaEpkMXZJTFFBQUZVU0Q3Tkl5UWRtcFZINGkzakpQeWxDeGhhN1ZwSjVpaHNqUHNaSDRMYnZRMml1bG9tR2tyQm_SAWtBVV95cUxQMjRUSHptdW41eEZFZGZBZGNMank1LUsxYzhyenMwa1Q0dElHM3RhR1Z4VDR1YXpsUUdoRmM1VVpiam5wMWRQaGd6Y0g0NUZoSlV3LXBLRXlqbHVaS3d5UUMxMmpscURESVVuMA?oc=5,현대경제신문,gaming,gaming_competitor,gaming,,medium,,
2026-01-29,,,‘4 years’ Russia-Ukraine war longer than ‘6 years’ World War II?···Controversy over the U.S. special envoy’s lack of understanding of end-of-war talks - 경향신문,‘4 years’ Russia-Ukraine war longer than ‘6 years’ World War II?···Controversy over the U.S. special envoy’s lack of understanding of end-of-war talks 경향신문,https://news.google.com/rss/articles/CBMiXkFVX3lxTE84b3Qxc3dXNGE1SmFJMVBvek5xbGZrWG5ScmVWWmw1VENoMjI5enFXSU5tRllxOEc1ZG96Q1BUVlJMVUZkVzRwTnV4NmZ5aE5HU0I1T2hoYkl6WDB3VGc?oc=5,경향신문,gaming,gaming_competitor,traffic_impact,,high,,
2026-01-29,,,SPAIN-EU-MERCOSUR-AGRICULTURE-PROTEST - gukjenews.com,SPAIN-EU-MERCOSUR-AGRICULTURE-PROTEST gukjenews.com,https://news.google.com/rss/articles/CBMibkFVX3lxTFA2d1NhamthVXNPdDYzRmIwOG01WmJ5aHg3RnU1enJUdjlvb2s1ZzNiR0R4SDY3SG9NQXBScXlxbV81NTBfSUlCVmZ2S0FUVzM3UnBlbHUwTndSVGJudjYyd2htUHFlckJvR1dYWTB3?oc=5,gukjenews.com,gaming,gaming_competitor,traffic_impact,,high,,
2026-01-29,Russia,RUSSIA & CIS,‘4 years’ Russia-Ukraine war longer than ‘6 years’ World War II?···Controversy over the U.S. special envoy’s lack of understanding of end-of-war talks - 경향신문,‘4 years’ Russia-Ukraine war longer than ‘6 years’ World War II?···Controversy over the U.S. special envoy’s lack of understanding of end-of-war talks 경향신문,https://news.google.com/rss/articles/CBMiXkFVX3lxTE84b3Qxc3dXNGE1SmFJMVBvek5xbGZrWG5ScmVWWmw1VENoMjI5enFXSU5tRllxOEc1ZG96Q1BUVlJMVUZkVzRwTnV4NmZ5aE5HU0I1T2hoYkl6WDB3VGc?oc=5,경향신문,gaming,gaming_competitor,traffic_impact,,high,,
